Detector Name,Descriptor Name,camera-based estimated TTC(s)
AKAZE,BRIEF, 13.2596
AKAZE,BRIEF, 12.4679
AKAZE,BRIEF, 11.8745
AKAZE,BRIEF, 9.41131
AKAZE,BRIEF, 11.5176
,,
AKAZE,ORB, 18.8604
AKAZE,ORB, 16.1062
AKAZE,ORB, 14.5341
AKAZE,ORB, 15.149
AKAZE,ORB, 14.0978
AKAZE,ORB, 23.5101
AKAZE,ORB, 24.0351
AKAZE,ORB, 20.9964
AKAZE,ORB, 9.73113
AKAZE,ORB, 12.4524
AKAZE,ORB, 16.367
AKAZE,ORB, 16.0506
AKAZE,ORB, -0.259999
AKAZE,ORB, 13.043
AKAZE,ORB, 20.377
AKAZE,ORB, 11.1215
AKAZE,ORB, 11.4555
AKAZE,ORB, 8.52768
,,
AKAZE,FREAK, 14.6766
AKAZE,FREAK, 17.2816
AKAZE,FREAK, 17.8427
AKAZE,FREAK, -0.170691
AKAZE,FREAK, 26.1405
AKAZE,FREAK, 13.8333
AKAZE,FREAK, 21.4152
AKAZE,FREAK, 22.9222
AKAZE,FREAK, 19.3502
AKAZE,FREAK, 12.554
AKAZE,FREAK, -0.226082
AKAZE,FREAK, 21.105
AKAZE,FREAK, 20.3703
AKAZE,FREAK, -0.309518
AKAZE,FREAK, 24.0826
AKAZE,FREAK, 11.8767
AKAZE,FREAK, 10.8241
AKAZE,FREAK, 8.71531
,,
AKAZE,AKAZE, 12.4168
AKAZE,AKAZE, 15.9725
AKAZE,AKAZE, 14.9468
AKAZE,AKAZE, 18.4462
AKAZE,AKAZE, 28.9059
AKAZE,AKAZE, 13.463
AKAZE,AKAZE, 14.5133
AKAZE,AKAZE, -0.330288
AKAZE,AKAZE, 11.6576
AKAZE,AKAZE, -0.172384
AKAZE,AKAZE, 13.6434
AKAZE,AKAZE, 14.4794
AKAZE,AKAZE, -1.22307
AKAZE,AKAZE, 10.5144
AKAZE,AKAZE, 38.6359
AKAZE,AKAZE, 12.5363
AKAZE,AKAZE, nan
AKAZE,AKAZE, 8.71942
,,
AKAZE,SIFT, 12.4916
AKAZE,SIFT, 16.2212
AKAZE,SIFT, 14.4128
AKAZE,SIFT, 14.8987
AKAZE,SIFT, 17.8528
AKAZE,SIFT, 16.661
AKAZE,SIFT, 17.3693
AKAZE,SIFT, 17.45
